#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,pokemon_images\Medicham.png
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False,,
309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,pokemon_images\Electrike.png
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,pokemon_images\Manectric.png
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False,,
311,Plusle,Electric,,405,60,50,40,85,75,95,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,pokemon_images\Plusle.png
312,Minun,Electric,,405,60,40,50,75,85,95,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,pokemon_images\Minun.png
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,pokemon_images\Volbeat.png
314,Illumise,Bug,,400,65,47,55,73,75,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,pokemon_images\Illumise.png
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,pokemon_images\Roselia.png
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,pokemon_images\Gulpin.png
317,Swalot,Poison,,467,100,73,83,73,83,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,pokemon_images\Swalot.png
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,pokemon_images\Carvanha.png
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,pokemon_images\Sharpedo.png
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,,
320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,pokemon_images\Wailmer.png
321,Wailord,Water,,500,170,90,45,90,45,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,pokemon_images\Wailord.png
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,pokemon_images\Numel.png
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,pokemon_images\Camerupt.png
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False,,
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,pokemon_images\Torkoal.png
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,pokemon_images\Spoink.png
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,pokemon_images\Grumpig.png
327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,pokemon_images\Spinda.png
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,pokemon_images\Trapinch.png
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,pokemon_images\Vibrava.png
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,pokemon_images\Flygon.png
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,pokemon_images\Cacnea.png
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,pokemon_images\Cacturne.png
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,pokemon_images\Swablu.png
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,pokemon_images\Altaria.png
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False,,
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,pokemon_images\Zangoose.png
336,Seviper,Poison,,458,73,100,60,100,60,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,pokemon_images\Seviper.png
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,pokemon_images\Lunatone.png
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,pokemon_images\Solrock.png
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,pokemon_images\Barboach.png
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,pokemon_images\Whiscash.png
341,Corphish,Water,,308,43,80,65,50,35,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,pokemon_images\Corphish.png
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,pokemon_images\Crawdaunt.png
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,pokemon_images\Baltoy.png
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,pokemon_images\Claydol.png
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,pokemon_images\Lileep.png
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,pokemon_images\Cradily.png
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,pokemon_images\Anorith.png
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,pokemon_images\Armaldo.png
349,Feebas,Water,,200,20,15,20,10,55,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,pokemon_images\Feebas.png
350,Milotic,Water,,540,95,60,79,100,125,81,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,pokemon_images\Milotic.png
351,Castform,Normal,,420,70,70,70,70,70,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,pokemon_images\Castform.png
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,pokemon_images\Kecleon.png
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,pokemon_images\Shuppet.png
354,Banette,Ghost,,455,64,115,65,83,63,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,pokemon_images\Banette.png
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False,,
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,pokemon_images\Duskull.png
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,pokemon_images\Dusclops.png
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,pokemon_images\Tropius.png
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,pokemon_images\Chimecho.png
359,Absol,Dark,,465,65,130,60,75,60,75,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,pokemon_images\Absol.png
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False,,
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,pokemon_images\Wynaut.png
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,pokemon_images\Snorunt.png
362,Glalie,Ice,,480,80,80,80,80,80,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,pokemon_images\Glalie.png
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False,,
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,pokemon_images\Spheal.png
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,pokemon_images\Sealeo.png
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,pokemon_images\Walrein.png
366,Clamperl,Water,,345,35,64,85,74,55,32,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,pokemon_images\Clamperl.png
367,Huntail,Water,,485,55,104,105,94,75,52,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,pokemon_images\Huntail.png
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,pokemon_images\Gorebyss.png
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,pokemon_images\Relicanth.png
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,pokemon_images\Luvdisc.png
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,pokemon_images\Bagon.png
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,pokemon_images\Shelgon.png
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,pokemon_images\Salamence.png
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False,,
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,pokemon_images\Beldum.png
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,pokemon_images\Metang.png
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,pokemon_images\Metagross.png
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False,,
377,Regirock,Rock,,580,80,100,200,50,100,50,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,pokemon_images\Regirock.png
378,Regice,Ice,,580,80,50,100,100,200,50,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,pokemon_images\Regice.png
379,Registeel,Steel,,580,80,75,150,75,150,50,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,pokemon_images\Registeel.png
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,pokemon_images\Latias.png
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True,,
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,pokemon_images\Latios.png
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True,,
382,Kyogre,Water,,670,100,100,90,150,140,90,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,pokemon_images\Kyogre.png
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True,,
383,Groudon,Ground,,670,100,150,140,100,90,90,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,pokemon_images\Groudon.png
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True,,
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,pokemon_images\Rayquaza.png
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True,,
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png,pokemon_images\Jirachi.png
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,True,,
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True,,
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True,,
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,True,,
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png,pokemon_images\Turtwig.png
388,Grotle,Grass,,405,75,89,85,55,65,36,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png,pokemon_images\Grotle.png
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png,pokemon_images\Torterra.png
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png,pokemon_images\Chimchar.png
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png,pokemon_images\Monferno.png
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png,pokemon_images\Infernape.png
393,Piplup,Water,,314,53,51,53,61,56,40,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png,pokemon_images\Piplup.png
394,Prinplup,Water,,405,64,66,68,81,76,50,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png,pokemon_images\Prinplup.png
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png,pokemon_images\Empoleon.png
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png,pokemon_images\Starly.png
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,pokemon_images\Staravia.png
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png,pokemon_images\Staraptor.png
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png,pokemon_images\Bidoof.png
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,pokemon_images\Bibarel.png
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,pokemon_images\Kricketot.png
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png,pokemon_images\Kricketune.png
403,Shinx,Electric,,263,45,65,34,40,34,45,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png,pokemon_images\Shinx.png
404,Luxio,Electric,,363,60,85,49,60,49,60,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png,pokemon_images\Luxio.png
405,Luxray,Electric,,523,80,120,79,95,79,70,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png,pokemon_images\Luxray.png
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,pokemon_images\Budew.png
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png,pokemon_images\Roserade.png
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png,pokemon_images\Cranidos.png
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png,pokemon_images\Rampardos.png
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,pokemon_images\Shieldon.png
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png,pokemon_images\Bastiodon.png
412,Burmy,Bug,,224,40,29,45,29,45,36,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,pokemon_images\Burmy.png
413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False,,
413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False,,
413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False,,
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,pokemon_images\Mothim.png
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png,pokemon_images\Combee.png
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png,pokemon_images\Vespiquen.png
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png,pokemon_images\Pachirisu.png
418,Buizel,Water,,330,55,65,35,60,30,85,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png,pokemon_images\Buizel.png
419,Floatzel,Water,,495,85,105,55,85,50,115,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png,pokemon_images\Floatzel.png
420,Cherubi,Grass,,275,45,35,45,62,53,35,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png,pokemon_images\Cherubi.png
421,Cherrim,Grass,,450,70,60,70,87,78,85,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png,pokemon_images\Cherrim.png
422,Shellos,Water,,325,76,48,48,57,62,34,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png,pokemon_images\Shellos.png
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png,pokemon_images\Gastrodon.png
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png,pokemon_images\Ambipom.png
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png,pokemon_images\Drifloon.png
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png,pokemon_images\Drifblim.png
427,Buneary,Normal,,350,55,66,44,44,56,85,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png,pokemon_images\Buneary.png
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/428.png,pokemon_images\Lopunny.png
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False,,
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/429.png,pokemon_images\Mismagius.png
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/430.png,pokemon_images\Honchkrow.png
431,Glameow,Normal,,310,49,55,42,42,37,85,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,pokemon_images\Glameow.png
432,Purugly,Normal,,452,71,82,64,64,59,112,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png,pokemon_images\Purugly.png
433,Chingling,Psychic,,285,45,30,50,65,50,45,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png,pokemon_images\Chingling.png
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png,pokemon_images\Stunky.png
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/435.png,pokemon_images\Skuntank.png
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png,pokemon_images\Bronzor.png
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png,pokemon_images\Bronzong.png
438,Bonsly,Rock,,290,50,80,95,10,45,10,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png,pokemon_images\Bonsly.png
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False,,
440,Happiny,Normal,,220,100,5,5,15,65,30,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/440.png,pokemon_images\Happiny.png
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png,pokemon_images\Chatot.png
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/442.png,pokemon_images\Spiritomb.png
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/443.png,pokemon_images\Gible.png
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/444.png,pokemon_images\Gabite.png
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/445.png,pokemon_images\Garchomp.png
445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False,,
446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/446.png,pokemon_images\Munchlax.png
447,Riolu,Fighting,,285,40,70,40,35,40,60,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/447.png,pokemon_images\Riolu.png
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/448.png,pokemon_images\Lucario.png
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False,,
449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/449.png,pokemon_images\Hippopotas.png
450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/450.png,pokemon_images\Hippowdon.png
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png,pokemon_images\Skorupi.png
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/452.png,pokemon_images\Drapion.png
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/453.png,pokemon_images\Croagunk.png
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/454.png,pokemon_images\Toxicroak.png
455,Carnivine,Grass,,454,74,100,72,90,72,46,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png,pokemon_images\Carnivine.png
456,Finneon,Water,,330,49,49,56,49,61,66,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/456.png,pokemon_images\Finneon.png
457,Lumineon,Water,,460,69,69,76,69,86,91,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/457.png,pokemon_images\Lumineon.png
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/458.png,pokemon_images\Mantyke.png
