#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path,JPG Path
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,pokemon_images\Granbull.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CCB0>
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,pokemon_images\Qwilfish.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CD40>
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,pokemon_images\Scizor.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CDD0>
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False,,,
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,pokemon_images\Shuckle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CE60>
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,pokemon_images\Heracross.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CEF0>
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False,,,
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,pokemon_images\Sneasel.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CF80>
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,pokemon_images\Teddiursa.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D010>
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,pokemon_images\Ursaring.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D0A0>
218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,pokemon_images\Slugma.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D130>
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,pokemon_images\Magcargo.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D1C0>
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,pokemon_images\Swinub.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D250>
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,pokemon_images\Piloswine.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D2E0>
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,pokemon_images\Corsola.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D370>
223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,pokemon_images\Remoraid.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D400>
224,Octillery,Water,,480,75,105,75,105,75,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,pokemon_images\Octillery.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D490>
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,pokemon_images\Delibird.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D520>
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,pokemon_images\Mantine.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D5B0>
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,pokemon_images\Skarmory.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D640>
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,pokemon_images\Houndour.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D6D0>
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,pokemon_images\Houndoom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D760>
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False,,,
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,pokemon_images\Kingdra.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D7F0>
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,pokemon_images\Phanpy.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D880>
232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,pokemon_images\Donphan.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D910>
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,pokemon_images\Porygon2.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8D9A0>
234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,pokemon_images\Stantler.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DA30>
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,pokemon_images\Smeargle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DAC0>
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,pokemon_images\Tyrogue.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DB50>
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,pokemon_images\Hitmontop.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DBE0>
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,pokemon_images\Smoochum.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DC70>
239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,pokemon_images\Elekid.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DD00>
240,Magby,Fire,,365,45,75,37,70,55,83,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,pokemon_images\Magby.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DD90>
241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,pokemon_images\Miltank.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DE20>
242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,pokemon_images\Blissey.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DF40>
243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,pokemon_images\Raikou.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DEB0>
244,Entei,Fire,,580,115,115,85,90,75,100,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,pokemon_images\Entei.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8DFA0>
245,Suicune,Water,,580,100,75,115,90,115,85,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,pokemon_images\Suicune.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E030>
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,pokemon_images\Larvitar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E0C0>
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,pokemon_images\Pupitar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E150>
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,pokemon_images\Tyranitar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E1E0>
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False,,,
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,pokemon_images\Lugia.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E270>
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,pokemon_images\Ho-oh.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E300>
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,pokemon_images\Celebi.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E390>
252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,pokemon_images\Treecko.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E420>
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,pokemon_images\Grovyle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E4B0>
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,pokemon_images\Sceptile.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E540>
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False,,,
255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,pokemon_images\Torchic.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E5D0>
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,pokemon_images\Combusken.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E660>
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,pokemon_images\Blaziken.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E6F0>
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False,,,
258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,pokemon_images\Mudkip.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E780>
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,pokemon_images\Marshtomp.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E810>
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,pokemon_images\Swampert.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E8A0>
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,,,
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,pokemon_images\Poochyena.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E930>
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,pokemon_images\Mightyena.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8E9C0>
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,pokemon_images\Zigzagoon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EA50>
264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,pokemon_images\Linoone.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EAE0>
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,pokemon_images\Wurmple.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EB70>
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,pokemon_images\Silcoon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EC00>
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,pokemon_images\Beautifly.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EC90>
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,pokemon_images\Cascoon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8ED20>
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,pokemon_images\Dustox.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EDB0>
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,pokemon_images\Lotad.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EE40>
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,pokemon_images\Lombre.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EED0>
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,pokemon_images\Ludicolo.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EF60>
273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,pokemon_images\Seedot.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8EFF0>
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,pokemon_images\Nuzleaf.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F080>
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,pokemon_images\Shiftry.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F110>
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,pokemon_images\Taillow.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F1A0>
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,pokemon_images\Swellow.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F230>
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,pokemon_images\Wingull.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F2C0>
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,pokemon_images\Pelipper.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F350>
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,pokemon_images\Ralts.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F3E0>
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,pokemon_images\Kirlia.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F470>
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,pokemon_images\Gardevoir.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F500>
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False,,,
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,pokemon_images\Surskit.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F590>
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,pokemon_images\Masquerain.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F620>
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,pokemon_images\Shroomish.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F6B0>
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,pokemon_images\Breloom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F740>
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,pokemon_images\Slakoth.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F7D0>
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,pokemon_images\Vigoroth.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F860>
289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,pokemon_images\Slaking.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F8F0>
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,pokemon_images\Nincada.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8F980>
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,pokemon_images\Ninjask.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FA10>
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,pokemon_images\Shedinja.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FAA0>
293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,pokemon_images\Whismur.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FB30>
294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,pokemon_images\Loudred.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FBC0>
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,pokemon_images\Exploud.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FC50>
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,pokemon_images\Makuhita.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FCE0>
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,pokemon_images\Hariyama.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FD70>
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,pokemon_images\Azurill.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FE00>
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,pokemon_images\Nosepass.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FE90>
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,pokemon_images\Skitty.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8FF20>
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,pokemon_images\Delcatty.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0050>
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,pokemon_images\Sableye.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD00B0>
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False,,,
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,pokemon_images\Mawile.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0110>
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False,,,
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,pokemon_images\Aron.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD01A0>
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,pokemon_images\Lairon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0230>
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,pokemon_images\Aggron.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD02C0>
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False,,,
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,pokemon_images\Meditite.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0350>
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,pokemon_images\Medicham.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD03E0>
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False,,,
309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,pokemon_images\Electrike.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0470>
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,pokemon_images\Manectric.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861ECD0500>
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False,,,
